MID,ShowDate
76b3db64-a845-4e5e-9a30-45dcf6b09396,2023-07-02
9612586d-1f32-4caa-b007-9bb80fbff3e3,2019-02-28
72531bf0-f9df-40a3-a7f5-b3e2286c6d65,2022-06-22
fc32df2b-f2c2-4f05-80b6-53fcb1bedd6a,2028-07-04
e23c1fb5-fe2e-413c-9168-6e7480925840,2022-11-17
ca3783db-fd5a-4c71-a805-0baec8ce2a89,2020-09-25
917ab881-e721-4da7-a91d-55d7403d22e3,2021-02-05
e304dd45-fe74-40ed-a7b4-3c91a962aaea,2023-08-04
6bdaf20b-5d65-4431-ab93-bfaadde14250,2024-11-01
32ddab92-08c0-4e46-ab9a-fa1070f5a7ae,2030-05-11
eb9c62ae-14f2-4b85-9b0d-e8badae1d326,2020-12-05
f6bab1ae-e389-43ed-920b-b9da92b16e93,2016-09-21
0f455d4e-adb9-44ae-b87e-e373e633ecc7,2022-12-28
a86c8ba5-4594-4451-b592-f62e6f166538,2019-06-07
2e1d4079-8be0-45dd-992a-7a70ae5ab4b7,2028-11-05
8ac75326-0eb1-4c56-8fc8-15ea2dcf546b,2016-05-27
4c30df26-e8f0-4339-adbe-912a6921dd7c,2020-11-22
11372247-5653-4fb8-bb67-256221f73629,2018-01-07
8681c867-d2ef-4370-aec1-b13dbd18f3b3,2016-12-09
31996684-8bdb-4a36-8aab-770a50d5e0d0,2022-03-12
63cd2c00-19b5-4608-a824-b67180fc9b49,2024-03-02
96016eaa-eedf-4e48-b02e-1f6a47d01cfc,2023-09-30
1cacb4e7-8687-440f-af0b-5dbc13e69f7e,2018-04-24
3a87cea7-b0a5-47f5-9a02-2a995ba8dfa7,2021-12-20
5ed63e8e-9cea-473e-b72a-3524691681a5,2019-10-08
b21a8e8c-66a5-4b17-ba5f-d4030c90a57f,2024-08-19
49c121c9-ffcd-4c9c-a24e-a7f1687e4d0a,2018-05-24
314b8522-4df4-4352-8e55-f083aee48068,2017-08-23
b51d87b3-ca51-4c1a-8ea8-84be6b45baba,2025-03-11
07b5fa89-5488-4f7e-a08e-f4482c0e1f57,2018-07-23
8207c21f-7a46-45c0-93b1-30c231b89286,2024-02-09
